Site,Tunnel Name,Tunnel Type,VMS,MSC,CLV Setup,MSC firmware,Alternative name,MSC ETH IP,MSC Mask,MSC Gateway,MSC NTP,SSPC IP,SSPC Mask,SSPC Gateway,SSPC NTP
ALBA,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.84.136.231,255.255.255.0,10.84.136.1,10.84.129.1,10.84.131.146,255.255.254.0,10.84.130.1,10.84.129.1
ANAH,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.80.28.231,255.255.255.0,10.80.28.1,10.80.16.1,10.80.19.146,255.255.254.0,10.80.18.1,10.80.16.1
ATLA,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.188.231,255.255.255.0,10.64.188.1,10.64.180.1,10.64.179.146,255.255.254.0,10.64.178.1,10.64.180.1
ATLA,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.188.232,255.255.255.0,10.64.188.1,10.64.180.1,10.64.179.147,255.255.254.0,10.64.178.1,10.64.180.1
ATLA,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.188.233,255.255.255.0,10.64.188.1,10.64.180.1,10.64.179.148,255.255.254.0,10.64.178.1,10.64.180.1
ATLA,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.64.188.234,255.255.255.0,10.64.188.1,10.64.180.1,10.64.179.149,255.255.254.0,10.64.178.1,10.64.180.1
AUST,I1,UDS,,,,,,10.111.136.231,255.255.254.0,10.111.136.1,10.111.136.1,10.111.131.146,255.255.254.0,10.111.130.1,10.111.130.1
BILL,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,,,10.65.201.231,255.255.254.0,10.65.200.1,10.65.193.1,10.65.195.146,255.255.254.0,10.65.194.1,10.65.193.1
BURB,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.95.120.231,255.255.255.0,10.95.120.1,10.95.112.1,10.95.115.146,255.255.254.0,10.95.114.1,10.95.112.1
CAMD,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.92.56.231,255.255.255.0,10.92.56.1,10.92.48.1,10.92.51.146,255.255.254.0,10.92.50.1,10.92.48.1
