SITE,DNS Name,IP,Subnet Mask,Gateway,NTP Server,Software Version
ALBA,fsalbashub01.ground.fedex.com,10.84.131.75,255.255.254.0,10.84.130.1,10.84.130.1,Version: 3.2.0   Build Info: 3RC
ANAH,fsanahshub01.ground.fedex.com,10.80.19.75,255.255.254.0,10.80.18.1,10.80.18.1,Version: 3.2.0   Build Info: 3RC
ATLA,fsatlashub01.ground.fedex.com,10.64.179.75,255.255.254.0,10.64.178.1,10.64.178.1,Version: 3.2.0   Build Info: 3RC
AUST,fsaustshub01.ground.fedex.com,10.111.131.75,255.255.254.0,10.111.136.1,10.111.136.1,Version: 3.2.0   Build Info: 3RC
BILL,fsbillshub01.ground.fedex.com,10.65.195.75,255.255.254.0,10.65.200.1,10.65.194.1,Version: 3.2.0   Build Info: 3RC
BURB,fsburbshub01.ground.fedex.com,10.95.115.75,255.255.254.0,10.95.114.1,10.95.114.1,Version: 3.2.0   Build Info: 3RC
CAMD,fscamdshub01.ground.fedex.com,10.92.51.75,255.255.254.0,10.92.50.1,10.92.50.1,Version: 3.2.0   Build Info: 3RC
CHAM,fschamshub01.ground.fedex.com,10.79.51.75,255.255.254.0,10.79.50.1,10.79.50.1,Version: 3.2.0   Build Info: 3RC
CHAR,fscharshub01.ground.fedex.com,10.65.3.75,255.255.254.0,10.65.2.1,10.65.0.1,Version: 3.2.0   Build Info: 3RC
CHIC,fschicshub01.ground.fedex.com,10.95.243.75,255.255.254.0,10.95.242.1,10.95.242.1,Version: 3.2.0   Build Info: 3RC
CHND,,10.70.147.75,255.255.254.0,10.70.146.1,10.70.146.1,Version: 3.2.0   Build Info: 3RC
CLEV,fsclevshub01.ground.fedex.com,10.67.211.75,255.255.254.0,10.67.210.1,10.67.208.1,Version: 3.2.0   Build Info: 3RC
COLO,fscoloshub01.ground.fedex.com,10.64.131.75,255.255.254.0,10.64.130.1,10.64.128.1,Version: 3.2.0   Build Info: 3RC
CRLS,fscrlsshub01.ground.fedex.com,10.79.83.75,255.255.254.0,10.79.82.1,10.79.80.1,Version: 3.2.0   Build Info: 3RC
CRSN,fscrsnshub01.ground.fedex.com,10.81.147.75,255.255.254.0,10.81.146.1,10.81.144.1,Version: 3.2.0   Build Info: 3RC
DALL,fsdallshub01.ground.fedex.com,10.69.211.75,255.255.254.0,10.69.210.1,10.69.208.1,Version: 3.2.0   Build Info: 3RC
DALL,fsdallshub01.ground.fedex.com,10.69.211.107,255.255.254.0,10.69.210.1,10.69.208.1,Version: 3.2.0   Build Info: 3RC
DENV,fsdenvshub01.ground.fedex.com,10.65.35.75,255.255.254.0,10.65.34.1,10.65.34.1,Version: 3.2.0   Build Info: 3RC
DETR,fsdetrshub01.ground.fedex.com,10.86.243.75,255.255.254.0,10.86.242.1,pgh-ntp01-bo.ground.fedex.com,Version: 3.2.0   Build Info: 3RC
ECOL,fsecolshub01.ground.fedex.com,10.82.3.75,255.255.254.0,10.82.2.1,10.82.2.1,Version: 3.2.0   Build Info: 3RC
EHRB,fsehrbshub01.ground.fedex.com,10.83.131.75,255.255.254.0,10.83.131.1,10.83.136.1,Version: 3.2.0   Build Info: 3RC
ESFS,fsesfsshub01.ground.fedex.com,10.109.19.75,255.255.254.0,10.109.18.1,10.109.18.1,Version: 3.2.0   Build Info: 3RC
FRES,fsfresshub01.ground.fedex.com,10.71.83.75,255.255.254.0,10.71.82.1,10.71.82.1,Version: 3.2.0   Build Info: 3RC
FTLA,fsftlashub01.ground.fedex.com,10.88.3.75,255.255.254.0,10.88.2.1,10.88.2.1,Version: 3.2.0   Build Info: 3RC
FTWA,fsFTWAshub01.ground.fedex.com,10.67.35.75,255.255.254.0,10.67.34.1,10.67.34.1,Version: 3.2.0   Build Info: 3RC
FTWO,fsftwoshub01.ground.fedex.com,10.64.67.75,255.255.254.0,10.64.66.1,10.64.66.1,Version: 3.2.0   Build Info: 3RC
GRNB,fsgrnbshub01.ground.fedex.com,10.65.227.75,255.255.254.0,10.65.226.1,10.65.226.1,Version: 3.2.0   Build Info: 3RC
HAGE,fshageshub01.ground.fedex.com,10.92.243.92,255.255.254.0,10.92.242.1,10.92.242.1,Version: 3.2.0   Build Info: 3RC
HART,fshartshub01.ground.fedex.com,10.64.195.75,255.255.254.0,10.64.194.1,10.64.194.1,Version: 3.2.0   Build Info: 3RC
HRBG,fshrbgshub01.ground.fedex.com,10.64.35.75,255.255.254.0,10.64.34.1,10.64.34.1,Version: 3.2.0   Build Info: 3RC
IDST,fsidstshub01.ground.fedex.com,10.85.3.75,255.255.254.0,10.85.2.1,10.85.2.1,Version: 3.2.0   Build Info: 3RC
INDI,fsindishub01.ground.fedex.com,10.64.51.75,255.255.254.0,10.64.50.1,10.64.50.1,Version: 3.2.0   Build Info: 3RC
IRVG,fsirvgshub01.ground.fedex.com,10.81.19.75,255.255.254.0,10.81.18.1,10.81.18.1,Version: 3.2.0   Build Info: 3RC
JKSV,,10.91.163.75,255.255.254.0,10.91.162.1,10.91.162.1,Version: 3.2.0   Build Info: 3RC
