Site,Tunnel,System Type,PE Type,MSC ,ICR-2,ICR -3,LED ,VMS,CLV490 ,CLV690,Mirror Type,CLV Setup,SOPAS,Scale Installed,MSC ETH1               IP,MSC ETH1        Mask,MSC ETH1 Gateway,MSC ETH2               IP,MSC ETH2        Mask,MSC ETH2 Gateway,SNTP IP,Solution Server   IP,Solution Server Mask,Solution Server Gateway,Solution Server SNTP IP,Hard Drives,Solution Server Image,Solution Server Software
ALBA,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.84.136.196,255.255.255.0,10.84.136.1,10.84.137.196,255.255.255.0,10.84.136.1,10.84.136.1,10.84.131.111,255.255.254.0,10.84.130.1,10.84.136.1,,9193313_04,1.3.0.1.RC
ALBA,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.84.136.197,255.255.255.0,10.84.136.1,10.84.137.197,255.255.255.0,10.84.136.1,10.84.136.1,10.84.131.112,255.255.254.0,10.84.130.1,10.84.136.1,,9193313_04,1.3.0.1.RC
ANAH,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.80.28.196 ,255.255.255.0 ,10.89.24.1 ,10.80.29.196 ,255.255.255.0 ,10.89.24.1 ,10.80.16.1,10.80.19.111 ,255.255.254.0 ,10.80.18.1 ,10.80.16.1,,9193313_03,1.3.0.1.RC
ANAH,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.80.28.197 ,255.255.255.0 ,10.89.24.1 ,10.80.29.197 ,255.255.255.0 ,10.89.24.1 ,10.80.16.1,10.80.19.112 ,255.255.254.0,10.80.18.1 ,10.80.16.1,,9193313_03,1.3.0.1.RC
ATLA,PS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.188.186 ,255.255.255.0 ,10.64.188.1 ,10.64.189.186 ,255.255.255.0 ,10.64.188.1 ,10.64.176.1,10.64.179.101 ,255.255.254.0 ,10.64.178.1 ,10.64.176.1,,9193313_03,1.3.0.1.RC
ATLA,PS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.188.187 ,255.255.255.0 ,10.64.188.1 ,10.64.189.187 ,255.255.255.0 ,10.64.188.1 ,10.64.176.1,10.64.179.102 ,255.255.254.0 ,10.64.178.1 ,10.64.176.1,,9193313_03,1.3.0.1.RC
ATLA,PS3,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.188.188 ,255.255.255.0 ,10.64.188.1 ,10.64.189.188 ,255.255.255.0 ,10.64.188.1 ,10.64.176.1,10.64.179.103 ,255.255.254.0 ,10.64.178.1 ,10.64.176.1,,9193313_03,1.3.0.1.RC
ATLA,PS4,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,Yes,10.64.188.189 ,255.255.255.0 ,10.64.188.1 ,10.64.189.189 ,255.255.255.0 ,10.64.188.1 ,10.64.176.1,10.64.179.104 ,255.255.254.0 ,10.64.178.1 ,10.64.176.1,,9193313_03,1.3.0.1.RC
ATLA,SS1,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.188.196 ,255.255.255.0 ,10.64.188.1 ,10.64.189.196 ,255.255.255.0 ,10.64.188.1 ,10.64.176.1,10.64.179.111 ,255.255.254.0 ,10.64.178.1 ,10.64.176.1,,9193313_03,1.3.0.1.RC
ATLA,SS2,ICR,WL-27,V 3.10.212           EPIC-2 CT                V 3.2,V 3.16.0.25,,V 1.49,S 2.52,5.2,,A1-63879-1,5.2,2.38.3 ,No,10.64.188.197 ,255.255.255.0 ,10.64.188.1 ,10.64.189.197 ,255.255.255.0 ,10.64.188.1 ,10.64.176.1,10.64.179.112 ,255.255.254.0 ,10.64.178.1 ,10.64.176.1,,9193313_03,1.3.0.1.RC
