Site,Tunnel,System Type,Scale Installed
ALBA,SS1,ICR,Yes
ALBA,SS2,ICR,Yes
ANAH,SS1,ICR,No
ANAH,SS2,ICR,No
ATLA,PS1,ICR,Yes
ATLA,PS2,ICR,Yes
ATLA,PS3,ICR,Yes
ATLA,PS4,ICR,Yes
ATLA,SS1,ICR,No
ATLA,SS2,ICR,No
ATLA,SS3,ICR,No
ATLA,SS4,ICR,No
ATLA,SS5,ICR,No
ATLA,SS6,ICR,No
AUST,SS,ICR,Yes
AUST,SS,ICR,Yes
BILL,SS1,ICR,Yes
BILL,SS2,ICR,Yes
BURB,SS1,ICR,Yes
BURB,SS2,ICR,Yes
CAMD,SS1,ICR,No
CAMD,SS2,ICR,No
CHAM,PS1,ICR,Yes
CHAM,PS2,ICR,Yes
CHAM,PS3,ICR,Yes
CHAM,SS1,ICR,No
CHAM,SS2,ICR,No
CHAM,SS3,ICR,No
CHAM,SS4,ICR,No
CHAR,PS1,ICR,Yes
CHAR,PS2,ICR,Yes
CHAR,PS3,ICR,Yes
CHAR,PS4,ICR,Yes
CHAR,SS1,ICR,No
CHAR,SS2,ICR,No
CHAR,SS3,ICR,No
CHAR,SS4,ICR,No
CHAR,SS5,ICR,No
CHAR,SS6,ICR,No
CHND,SS,ICR,Yes
CHND,SS,ICR,Yes
CLEV,SS1,ICR,No
CLEV,SS2,ICR,No
COLO,GREENIN,ICR,Yes
COLO,GREENOUT,ICR,Yes
COLO,BROWNIN,ICR,No
COLO,BROWNOUTTER,ICR,No
COLO,REDIN,ICR,No
COLO,REDOUTTER,ICR,No
COLO,BLUELOWER,ICR,No
COLO,BLUEUPPER,ICR,No
CRLS,SS1,ICR,No
CRLS,SS2,ICR,No
CRSN,SS1,ICR,No
CRSN,SS2,ICR,No
DALL,PS1,ICR,Yes
DALL,PS2,ICR,Yes
DALL,PS3,ICR,Yes
DALL,PS4,ICR,Yes
DALL,PS5,ICR,Yes
DALL,PS6,ICR,Yes
DALL,PS7,ICR,Yes
DALL,PS8,ICR,Yes
DALL,PSR,ICR,No
DALL,SSA1,ICR,No
DALL,SSA2,ICR,No
DALL,SSA3,ICR,No
DALL,SSB1,ICR,No
DALL,SSB2,ICR,No
DALL,SSB3,ICR,No
DALL,SSC1,ICR,No
DALL,SSC2,ICR,No
DALL,SSC3,ICR,No
DALL,SSC4,ICR,No
DALL,LC1,ICR,No
DALL,LC2,ICR,No
DALL,BS,ICR,No
DALL,BS,ICR,No
DENV,PS1,ICR,Yes
DENV,PS2,ICR,Yes
DENV,PS3,ICR,Yes
DENV,PS4,ICR,Yes
DENV,SS1,ICR,No
DENV,SS2,ICR,No
DENV,SS3,ICR,No
DENV,SS4,ICR,No
DETR,SS1,ICR,No
ECOL,SS1,ICR,No
ECOL,SS2,ICR,No
EHRB,SS1,ICR,Yes
EHRB,SS2,ICR,Yes
ESFS,SS,ICR,Yes
ESFS,SS,ICR,Yes
FRES,SS2,ICR,Yes
FTWA,SS1,ICR,Yes
FTWA,SS2,ICR,Yes
FTWO,PS1,ICR,Yes
FTWO,PS2,ICR,Yes
FTWO,PS3,ICR,Yes
FTWO,PS4,ICR,Yes
FTWO,PS5,ICR,Yes
FTWO,PS6,ICR,Yes
FTWO,SS1,ICR,No
