Date/Time,Site Name,Tunnel Name,Tunnel Type,IP,Reachable?,,,,,,,
12-09-15_16:28,CHIC,PS01,ASI,10.95.243.101,Reachable,,,,,,,
12-09-15_16:28,CHIC,PS02,ASI,10.95.243.102,Reachable,,,,,,,
12-09-15_16:28,CHIC,PS03,ASI,10.95.243.103,Reachable,,,,,,,
12-09-15_16:28,CHIC,PS04,ASI,10.95.243.104,Reachable,,,,,,,
12-09-15_16:28,CHIC,PS05,ASI,10.95.243.105,Reachable,,,,,,,
12-09-15_16:28,CHIC,PS06,ASI,10.95.243.106,Reachable,,,,,,,
12-09-15_16:28,CHIC,PSR1,ASI,10.95.243.110,Reachable,,,,,,,
12-09-15_16:28,CHIC,SSA1,ASI,10.95.243.111,Reachable,,,,,,,
12-09-15_16:28,CHIC,SSA2,ASI,10.95.243.112,Reachable,,,,,,,
12-09-15_16:28,CHIC,SSB1,ASI,10.95.243.115,Reachable,,,,,,,
12-09-15_16:28,CHIC,SSB2,ASI,10.95.243.116,Reachable,,,,,,,
12-09-15_16:28,CHIC,SSC1,ASI,10.95.243.119,Reachable,,,,,,,
12-09-15_16:28,CHIC,SSC2,ASI,10.95.243.120,Reachable,,,,,,,
12-09-15_16:28,CHIC,SB01,ASI,10.95.243.127,Reachable,,,,,,,
12-09-15_16:28,COLO,AS01CT1,ASI,10.64.131.168,Reachable,,,,,,,
12-09-15_16:28,COLO,AS01CT2,ASI,10.64.131.169,Reachable,,,,,,,
12-09-15_16:28,FTLA,SS01,ASI,10.88.3.111,Reachable,,,,,,,
12-09-15_16:28,FTLA,SS02,ASI,10.88.3.112,Reachable,,,,,,,
12-09-15_16:28,HART,AS01CT1,ASI,10.64.195.127,Reachable,,,,,,,
12-09-15_16:28,HART,AS01CT2,ASI,10.64.195.128,Reachable,,,,,,,
12-09-15_16:28,HRBG,AS01,ASI,10.64.35.127,Reachable,,,,,,,
12-09-15_16:28,MIAM,SS01,ASI,10.80.83.111,Reachable,,,,,,,
12-09-15_16:28,MIAM,SS02,ASI,10.80.83.112,Reachable,,,,,,,
12-09-15_16:28,MEMP,PS01,ASI,10.65.83.101,Reachable,,,,,,,
12-09-15_16:28,MEMP,PS02,ASI,10.65.83.102,Reachable,,,,,,,
12-09-15_16:28,MEMP,PS03,ASI,10.65.83.103,Reachable,,,,,,,
12-09-15_16:28,MEMP,PS04,ASI,10.65.83.104,Reachable,,,,,,,
12-09-15_16:28,MEMP,PS05,ASI,10.65.83.105,Reachable,,,,,,,
12-09-15_16:28,MEMP,PS06,ASI,10.65.83.106,Reachable,,,,,,,
12-09-15_16:28,MEMP,SS01,ASI,10.65.83.111,Reachable,,,,,,,
12-09-15_16:28,MEMP,SS02,ASI,10.65.83.112,Reachable,,,,,,,
12-09-15_16:28,MEMP,SS03,ASI,10.65.83.113,Reachable,,,,,,,
12-09-15_16:28,MEMP,SS04,ASI,10.65.83.114,Reachable,,,,,,,
12-09-15_16:28,MEMP,SS05,ASI,10.65.83.115,Reachable,,,,,,,
12-09-15_16:28,MEMP,SS06,ASI,10.65.83.116,Reachable,,,,,,,
12-09-15_16:28,NASH,PS01,ASI,10.64.227.101,Reachable,,,,,,,
12-09-15_16:28,NASH,PS02,ASI,10.64.227.102,Reachable,,,,,,,
12-09-15_16:28,NASH,PS03,ASI,10.64.227.103,Reachable,,,,,,,
12-09-15_16:28,NASH,PS04,ASI,10.64.227.104,Reachable,,,,,,,
12-09-15_16:28,NASH,SS01,ASI,10.64.227.111,Reachable,,,,,,,
12-09-15_16:28,NASH,SS02,ASI,10.64.227.112,Reachable,,,,,,,
12-09-15_16:28,NASH,SS03,ASI,10.64.227.113,Reachable,,,,,,,
12-09-15_16:28,NASH,SS04,ASI,10.64.227.114,Reachable,,,,,,,
